Module	Section	Sample Name	Source
FastQC	all_sections	SRR19667552_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667552_1_fastqc.zip
FastQC	all_sections	SRR19667541_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667541_2_fastqc.zip
FastQC	all_sections	SRR19667523_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667523_1_fastqc.zip
FastQC	all_sections	SRR19667535_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667535_1_fastqc.zip
FastQC	all_sections	SRR19667550_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667550_1_fastqc.zip
FastQC	all_sections	SRR19667552_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667552_2_fastqc.zip
FastQC	all_sections	SRR19667546_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667546_1_fastqc.zip
FastQC	all_sections	SRR19667541_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667541_1_fastqc.zip
FastQC	all_sections	SRR19667555_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667555_1_fastqc.zip
FastQC	all_sections	SRR19667551_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667551_1_fastqc.zip
FastQC	all_sections	SRR19667533_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667533_2_fastqc.zip
FastQC	all_sections	SRR19667544_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667544_1_fastqc.zip
FastQC	all_sections	SRR19667545_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667545_2_fastqc.zip
FastQC	all_sections	SRR19667551_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667551_2_fastqc.zip
FastQC	all_sections	SRR19667539_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667539_1_fastqc.zip
FastQC	all_sections	SRR19667533_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667533_1_fastqc.zip
FastQC	all_sections	SRR19667526_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667526_1_fastqc.zip
FastQC	all_sections	SRR19667526_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667526_2_fastqc.zip
FastQC	all_sections	SRR19667527_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667527_1_fastqc.zip
FastQC	all_sections	SRR19667544_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667544_2_fastqc.zip
FastQC	all_sections	SRR19667553_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667553_1_fastqc.zip
FastQC	all_sections	SRR19667550_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667550_2_fastqc.zip
FastQC	all_sections	SRR19667532_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667532_2_fastqc.zip
FastQC	all_sections	SRR19667546_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667546_2_fastqc.zip
FastQC	all_sections	SRR19667540_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667540_2_fastqc.zip
FastQC	all_sections	SRR19667545_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667545_1_fastqc.zip
FastQC	all_sections	SRR19667529_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667529_2_fastqc.zip
FastQC	all_sections	SRR19667539_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667539_2_fastqc.zip
FastQC	all_sections	SRR19667520_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667520_2_fastqc.zip
FastQC	all_sections	SRR19667534_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667534_1_fastqc.zip
FastQC	all_sections	SRR19667534_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667534_2_fastqc.zip
FastQC	all_sections	SRR19667553_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667553_2_fastqc.zip
FastQC	all_sections	SRR19667536_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667536_1_fastqc.zip
FastQC	all_sections	SRR19667547_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667547_2_fastqc.zip
FastQC	all_sections	SRR19667543_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667543_2_fastqc.zip
FastQC	all_sections	SRR19667542_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667542_2_fastqc.zip
FastQC	all_sections	SRR19667548_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667548_2_fastqc.zip
FastQC	all_sections	SRR19667554_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667554_1_fastqc.zip
FastQC	all_sections	SRR19667528_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667528_1_fastqc.zip
FastQC	all_sections	SRR19667548_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667548_1_fastqc.zip
FastQC	all_sections	SRR19667543_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667543_1_fastqc.zip
FastQC	all_sections	SRR19667521_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667521_2_fastqc.zip
FastQC	all_sections	SRR19667531_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667531_1_fastqc.zip
FastQC	all_sections	SRR19667525_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667525_1_fastqc.zip
FastQC	all_sections	SRR19667538_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667538_2_fastqc.zip
FastQC	all_sections	SRR19667555_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667555_2_fastqc.zip
FastQC	all_sections	SRR19667530_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667530_2_fastqc.zip
FastQC	all_sections	SRR19667530_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667530_1_fastqc.zip
FastQC	all_sections	SRR19667522_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667522_1_fastqc.zip
FastQC	all_sections	SRR19667547_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667547_1_fastqc.zip
FastQC	all_sections	SRR19667536_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667536_2_fastqc.zip
FastQC	all_sections	SRR19667538_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667538_1_fastqc.zip
FastQC	all_sections	SRR19667532_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667532_1_fastqc.zip
