.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR19667531_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667532_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667532_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667533_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667533_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667534_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667534_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667535_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667535_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667536_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667536_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667537_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667537_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667538_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667538_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667539_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667539_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667540_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667540_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667541_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667541_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667542_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667542_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667543_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR19667543_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR19667544_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667544_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667545_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667545_2	1	0.25	0.5	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667546_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667546_2	1	0.25	0.5	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667547_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667547_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667548_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667548_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667549_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667549_2	1	0.25	0.5	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667550_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667550_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR19667551_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667551_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR19667552_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667552_2	1	0.25	1	0.25	0.5	0.5	0.5	0.25	0.25	1
SRR19667553_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667553_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR19667554_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667554_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667555_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667555_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
